date,airline,flight_number,origin,destination,origin_country,destination_country,origin_region,destination_region,original_route,new_route,original_distance_km,new_distance_km,additional_distance_km,extra_fuel_cost_usd,delay_hours
2026-04-18,Singapore Airlines,SI7742,Dubai,Karachi,UAE,Pakistan,Middle East,South Asia,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,4207,5861,1654,11293.73,4.9
2026-04-18,UPS Airlines,UP3883,Auckland,Singapore,New Zealand,Singapore,Asia Pacific,Asia Pacific,Direct Tehran overfly,Via Ashgabat–Almaty route,9221,10359,1138,7875.57,5.0
2026-04-18,Air France,AI7234,Mumbai,Kuwait City,India,Kuwait,South Asia,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,10109,12048,1939,8457.45,3.7
2026-04-18,South African Airways,SO965,Stockholm,Dubai,Sweden,UAE,Europe,Middle East,Direct Middle East overfly,Via Central Asian detour,3411,4918,1507,9043.15,0.5
2026-04-18,Lufthansa,LU6877,Dubai,Moscow,UAE,Russia,Middle East,Europe,Via Persian Gulf,Via Indian Ocean southern route,2991,5182,2191,14826.73,1.6
2026-04-18,Mahan Air,MA7170,Delhi,Istanbul,India,Turkey,South Asia,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,9625,10257,632,2619.86,3.4
2026-04-18,South African Airways,SO8257,Mexico City,London,Mexico,UK,Latin America,Europe,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,7294,8690,1396,6756.06,4.9
2026-04-18,Air China,AI7349,London,Abu Dhabi,UK,UAE,Europe,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7813,8878,1065,4631.47,1.7
2026-04-18,UPS Airlines,UP811,Cairo,Dubai,Egypt,UAE,North Africa,Middle East,Direct Tehran overfly,Via Ashgabat–Almaty route,4781,5758,977,4429.13,4.8
2026-04-19,Garuda Indonesia,GA487,Dubai,Helsinki,UAE,Finland,Middle East,Europe,Direct Middle East overfly,Via Central Asian detour,9906,11169,1263,7493.8,3.3
2026-04-19,Air New Zealand,AI7020,Bahrain,Dubai,Bahrain,UAE,Middle East,Middle East,Via Strait of Hormuz,Via Red Sea–Suez route,11189,12681,1492,5963.18,3.1
2026-04-19,Air New Zealand,AI3701,Los Angeles,London,USA,UK,North America,Europe,Via Strait of Hormuz,Via Red Sea–Suez route,7834,8479,645,3063.82,4.4
2026-04-19,Malaysia Airlines,MA6594,Guangzhou,Dubai,China,UAE,Asia Pacific,Middle East,Via Strait of Hormuz,Via Red Sea–Suez route,2046,2753,707,3117.95,3.1
2026-04-19,TAP Air Portugal,TA9594,Toronto,Doha,Canada,Qatar,North America,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,11288,11886,598,3607.22,4.7
2026-04-19,Oman Air,OM9810,Dubai,Bahrain,UAE,Bahrain,Middle East,Middle East,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,11384,13021,1637,7156.17,3.4
2026-04-19,Iran Air,IR3677,Tehran,Beijing,Iran,China,Middle East,Asia Pacific,Via Strait of Hormuz,Via Red Sea–Suez route,5693,6705,1012,4960.08,1.9
2026-04-19,TAP Air Portugal,TA9059,Los Angeles,Doha,USA,Qatar,North America,Middle East,Via Persian Gulf,Via Indian Ocean southern route,11377,13628,2251,15267.08,5.4
2026-04-19,Thai Airways,TH9811,New York,Dubai,USA,UAE,North America,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,8925,9825,900,5513.89,2.3
2026-04-19,Jazeera Airways,JA8506,Toronto,Doha,Canada,Qatar,North America,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,8554,10342,1788,12508.1,2.8
2026-04-19,KLM,KL3524,London,Santiago,UK,Chile,Europe,Latin America,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,9641,11524,1883,7922.34,0.5
2026-04-19,Emirates SkyCargo,EM4230,Paris,Shanghai,France,China,Europe,Asia Pacific,Direct Gulf route,Via Jordan–Egypt alternate,5148,5782,634,4151.62,3.2
2026-04-19,flynas,FL7788,Paris,Dubai,France,UAE,Europe,Middle East,Direct Tehran overfly,Via Ashgabat–Almaty route,6048,7289,1241,5835.64,2.8
2026-04-19,Korean Air,KO1270,Dubai,Santiago,UAE,Chile,Middle East,Latin America,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,8295,10005,1710,10433.11,3.6
2026-04-19,Mahan Air,MA7289,Tokyo,Singapore,Japan,Singapore,Asia Pacific,Asia Pacific,Direct Tehran overfly,Via Ashgabat–Almaty route,9820,11736,1916,12555.06,5.0
2026-04-20,China Eastern,CH6423,Casablanca,Paris,Morocco,France,Africa,Europe,Direct Tehran overfly,Via Ashgabat–Almaty route,6854,8319,1465,9344.96,4.9
2026-04-20,Azul Brazilian Airlines,AZ9492,Dubai,Zurich,UAE,Switzerland,Middle East,Europe,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,4598,6567,1969,11961.37,2.0
2026-04-20,Air Canada,AI1710,Helsinki,Dubai,Finland,UAE,Europe,Middle East,Via Persian Gulf,Via Indian Ocean southern route,3723,6320,2597,11535.3,3.3
2026-04-20,Swiss International Air Lines,SW3078,Doha,Addis Ababa,Qatar,Ethiopia,Middle East,Africa,Direct Gulf route,Via Jordan–Egypt alternate,11377,12245,868,4723.24,2.8
2026-04-20,Gulf Air,GU8666,Doha,Lisbon,Qatar,Portugal,Middle East,Europe,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,2178,4066,1888,12678.07,2.0
2026-04-20,DHL Aviation,DH2860,Bahrain,London,Bahrain,UK,Middle East,Europe,Direct Gulf route,Via Jordan–Egypt alternate,8502,9694,1192,8247.97,3.6
2026-04-20,easyJet,EA3689,São Paulo,Dubai,Brazil,UAE,Latin America,Middle East,Direct Middle East overfly,Via Central Asian detour,9352,11207,1855,6688.73,1.8
2026-04-20,DHL Aviation,DH1365,Singapore,Auckland,Singapore,New Zealand,Asia Pacific,Asia Pacific,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,3806,4627,821,3530.97,4.8
2026-04-20,Kuwait Airways,KU8771,London,Kuala Lumpur,UK,Malaysia,Europe,Asia Pacific,Via Strait of Hormuz,Via Red Sea–Suez route,8746,10224,1478,10172.73,0.7
2026-04-20,Air Algerie,AI7033,Seoul,Doha,South Korea,Qatar,Asia Pacific,Middle East,Direct Tehran overfly,Via Ashgabat–Almaty route,3615,4609,994,5541.31,3.5
2026-04-21,China Eastern,CH8382,Dubai,Sydney,UAE,Australia,Middle East,Asia Pacific,Via Baghdad FIR,Via Ankara–Baku corridor,9772,10391,619,2341.16,5.9
2026-04-21,Korean Air,KO1598,Mumbai,Dubai,India,UAE,South Asia,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,2538,4813,2275,15061.74,0.7
2026-04-21,Korean Air,KO5832,Dubai,Stockholm,UAE,Sweden,Middle East,Europe,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7561,8673,1112,6966.66,4.7
2026-04-21,TAP Air Portugal,TA8481,Dubai,Karachi,UAE,Pakistan,Middle East,South Asia,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,2491,4827,2336,14978.1,2.1
2026-04-21,flydubai,FL3796,Paris,Beirut,France,Lebanon,Europe,Middle East,Via Persian Gulf,Via Indian Ocean southern route,2673,4679,2006,8217.35,4.7
2026-04-21,Air India,AI7709,Nairobi,Dubai,Kenya,UAE,Africa,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,9527,10730,1203,5687.42,4.2
2026-04-21,Asiana Airlines,AS1376,London,Addis Ababa,UK,Ethiopia,Europe,Africa,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,5964,7159,1195,7405.44,5.6
2026-04-21,flydubai,FL6213,London,Toronto,UK,Canada,Europe,North America,Via Persian Gulf,Via Indian Ocean southern route,11782,15064,3282,21524.47,1.4
2026-04-21,Korean Air,KO9040,Dubai,Hanoi,UAE,Vietnam,Middle East,Asia Pacific,Direct Tehran overfly,Via Ashgabat–Almaty route,3867,5285,1418,6602.57,5.3
2026-04-21,Jazeera Airways,JA5155,Auckland,Dubai,New Zealand,UAE,Asia Pacific,Middle East,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,10991,12254,1263,6281.89,0.9
2026-04-21,LATAM Airlines,LA662,Dubai,Santiago,UAE,Chile,Middle East,Latin America,Via Strait of Hormuz,Via Red Sea–Suez route,8406,9441,1035,6901.78,2.5
2026-04-21,Gulf Air,GU9371,Delhi,Dubai,India,UAE,South Asia,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,9164,11124,1960,12614.93,3.5
2026-04-22,UPS Airlines,UP5134,New York,Doha,USA,Qatar,North America,Middle East,Via Strait of Hormuz,Via Red Sea–Suez route,11586,12187,601,3282.03,3.3
2026-04-22,Garuda Indonesia,GA934,London,Muscat,UK,Oman,Europe,Middle East,Via Strait of Hormuz,Via Red Sea–Suez route,9293,10273,980,4701.23,4.4
2026-04-22,Wizz Air,WI2780,Paris,Dubai,France,UAE,Europe,Middle East,Via Strait of Hormuz,Via Red Sea–Suez route,11168,12726,1558,9464.13,3.5
2026-04-22,Delta Air Lines,DE1615,Cairo,Riyadh,Egypt,Saudi Arabia,North Africa,Middle East,Direct Middle East overfly,Via Central Asian detour,8212,10288,2076,8081.89,5.7
2026-04-22,Ryanair,RY6750,Istanbul,Karachi,Turkey,Pakistan,Middle East,South Asia,Via Baghdad FIR,Via Ankara–Baku corridor,10172,10852,680,3923.74,2.2
2026-04-22,Aeromexico,AE750,Mumbai,Dubai,India,UAE,South Asia,Middle East,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,5763,7293,1530,6322.7,0.8
2026-04-22,Iberia,IB4157,Dubai,Warsaw,UAE,Poland,Middle East,Europe,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,9595,11472,1877,11807.93,4.5
2026-04-22,DHL Aviation,DH2915,London,Santiago,UK,Chile,Europe,Latin America,Via Persian Gulf,Via Indian Ocean southern route,4385,6064,1679,10170.2,2.9
2026-04-22,British Airways,BR6918,Moscow,Tehran,Russia,Iran,Europe,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,5840,6480,640,3748.16,0.4
2026-04-22,TAP Air Portugal,TA3022,London,Johannesburg,UK,South Africa,Europe,Africa,Via Baghdad FIR,Via Ankara–Baku corridor,10257,10810,553,2633.41,3.5
2026-04-22,Air Algerie,AI5284,Dubai,Warsaw,UAE,Poland,Middle East,Europe,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,10263,11257,994,5739.81,5.5
2026-04-22,SAS,SA7050,Dubai,Toronto,UAE,Canada,Middle East,North America,Via Baghdad FIR,Via Ankara–Baku corridor,11928,13376,1448,5371.1,4.3
2026-04-22,Kuwait Airways,KU1979,Dubai,Paris,UAE,France,Middle East,Europe,Direct Gulf route,Via Jordan–Egypt alternate,4664,5154,490,1923.9,2.1
2026-04-22,Ethiopian Airlines,ET9162,Los Angeles,Singapore,USA,Singapore,North America,Asia Pacific,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,3629,5698,2069,8489.64,2.2
2026-04-22,Vietnam Airlines,VI8281,Frankfurt,Dubai,Germany,UAE,Europe,Middle East,Direct Tehran overfly,Via Ashgabat–Almaty route,2248,3629,1381,5598.83,0.8
2026-04-22,Cargolux,CA5701,London,Addis Ababa,UK,Ethiopia,Europe,Africa,Via Baghdad FIR,Via Ankara–Baku corridor,8381,9130,749,2948.39,4.8
2026-04-23,China Southern,CH8173,Paris,Doha,France,Qatar,Europe,Middle East,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,2139,2956,817,4368.62,2.5
2026-04-23,TAP Air Portugal,TA9080,Dubai,Paris,UAE,France,Middle East,Europe,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,6897,8498,1601,5905.76,0.8
2026-04-23,Korean Air,KO9053,Bahrain,London,Bahrain,UK,Middle East,Europe,Via Baghdad FIR,Via Ankara–Baku corridor,4769,6182,1413,9846.86,3.2
2026-04-23,Delta Air Lines,DE6931,Cairo,Dubai,Egypt,UAE,North Africa,Middle East,Direct Middle East overfly,Via Central Asian detour,6956,8132,1176,6341.68,2.2
2026-04-23,Royal Air Maroc,RO4929,Los Angeles,London,USA,UK,North America,Europe,Direct Middle East overfly,Via Central Asian detour,3261,4208,947,5103.53,2.2
2026-04-23,ANA,AN5890,Dubai,Seoul,UAE,South Korea,Middle East,Asia Pacific,Via Baghdad FIR,Via Ankara–Baku corridor,2833,3756,923,4776.76,2.6
2026-04-23,Air New Zealand,AI4263,Doha,Mumbai,Qatar,India,Middle East,South Asia,Direct Gulf route,Via Jordan–Egypt alternate,2947,3611,664,2658.27,2.1
2026-04-23,China Eastern,CH5584,Bangkok,Dubai,Thailand,UAE,Asia Pacific,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,5423,6110,687,2476.99,0.6
2026-04-23,SAS,SA1693,Tokyo,Dubai,Japan,UAE,Asia Pacific,Middle East,Direct Middle East overfly,Via Central Asian detour,8482,10443,1961,8722.74,4.8
2026-04-23,LATAM Airlines,LA1025,Paris,Beirut,France,Lebanon,Europe,Middle East,Direct Middle East overfly,Via Central Asian detour,9626,10737,1111,4307.51,0.6
2026-04-23,Royal Air Maroc,RO7435,Sydney,London,Australia,UK,Asia Pacific,Europe,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,11740,13424,1684,6186.07,0.7
2026-04-23,Kenya Airways,KE7881,London,Los Angeles,UK,USA,Europe,North America,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,9138,10761,1623,9786.16,4.3
2026-04-23,Ryanair,RY5333,Doha,Ho Chi Minh City,Qatar,Vietnam,Middle East,Asia Pacific,Via Strait of Hormuz,Via Red Sea–Suez route,7843,8760,917,4866.39,2.5
2026-04-23,Air France,AI3770,Dubai,Hanoi,UAE,Vietnam,Middle East,Asia Pacific,Via Baghdad FIR,Via Ankara–Baku corridor,9548,10189,641,3951.47,2.1
2026-04-23,Avianca,AV3130,Doha,New York,Qatar,USA,Middle East,North America,Direct Gulf route,Via Jordan–Egypt alternate,2481,3355,874,5803.95,1.5
2026-04-24,Korean Air,KO276,Paris,Casablanca,France,Morocco,Europe,Africa,Via Baghdad FIR,Via Ankara–Baku corridor,8898,10316,1418,7744.89,3.7
2026-04-24,American Airlines,AM5996,Sydney,Dubai,Australia,UAE,Asia Pacific,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,8445,9292,847,5574.33,4.2
2026-04-24,TAP Air Portugal,TA756,Dubai,Shanghai,UAE,China,Middle East,Asia Pacific,Direct Tehran overfly,Via Ashgabat–Almaty route,9009,10094,1085,6681.5,2.3
2026-04-24,Air France,AI4131,Dubai,Warsaw,UAE,Poland,Middle East,Europe,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,9611,10673,1062,4886.01,3.4
2026-04-24,Oman Air,OM2712,London,Seoul,UK,South Korea,Europe,Asia Pacific,Via Baghdad FIR,Via Ankara–Baku corridor,4738,5339,601,2275.5,2.5
2026-04-24,Aeromexico,AE4576,Doha,Moscow,Qatar,Russia,Middle East,Europe,Via Baghdad FIR,Via Ankara–Baku corridor,3020,3581,561,2764.13,2.0
2026-04-24,Oman Air,OM2448,Dubai,Jakarta,UAE,Indonesia,Middle East,Asia Pacific,Via Baghdad FIR,Via Ankara–Baku corridor,4541,5589,1048,6843.15,2.7
2026-04-24,Japan Airlines,JA5930,Dubai,Warsaw,UAE,Poland,Middle East,Europe,Direct Middle East overfly,Via Central Asian detour,2694,5120,2426,11129.52,4.5
2026-04-24,Mahan Air,MA1373,Dubai,Nairobi,UAE,Kenya,Middle East,Africa,Direct Middle East overfly,Via Central Asian detour,3966,5188,1222,5597.68,1.1
2026-04-24,Saudi Arabian Airlines,SA4241,London,Beijing,UK,China,Europe,Asia Pacific,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7864,9677,1813,8514.93,2.8
2026-04-25,Iran Air,IR2656,Dubai,Delhi,UAE,India,Middle East,South Asia,Via Baghdad FIR,Via Ankara–Baku corridor,11173,12497,1324,6817.6,1.7
2026-04-25,Gulf Air,GU8531,London,Nairobi,UK,Kenya,Europe,Africa,Direct Gulf route,Via Jordan–Egypt alternate,6234,7429,1195,8239.5,0.7
2026-04-25,DHL Aviation,DH4354,Los Angeles,London,USA,UK,North America,Europe,Direct Middle East overfly,Via Central Asian detour,9472,11226,1754,11018.85,0.9
2026-04-25,Air Arabia,AI9749,Riyadh,Cairo,Saudi Arabia,Egypt,Middle East,North Africa,Direct Middle East overfly,Via Central Asian detour,10368,12523,2155,7774.26,3.5
2026-04-25,UPS Airlines,UP1809,Istanbul,Delhi,Turkey,India,Middle East,South Asia,Direct Middle East overfly,Via Central Asian detour,9956,11137,1181,7721.39,0.5
2026-04-25,Air Arabia,AI9878,Helsinki,Dubai,Finland,UAE,Europe,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,3884,4697,813,3635.04,3.5
2026-04-25,Saudi Arabian Airlines,SA1104,Dubai,Seoul,UAE,South Korea,Middle East,Asia Pacific,Direct Middle East overfly,Via Central Asian detour,7390,9648,2258,8656.33,4.7
2026-04-25,Royal Air Maroc,RO8388,Vancouver,Dubai,Canada,UAE,North America,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7835,9487,1652,9088.88,3.4
2026-04-25,Finnair,FI8301,Helsinki,Dubai,Finland,UAE,Europe,Middle East,Direct Tehran overfly,Via Ashgabat–Almaty route,9616,10657,1041,5432.23,2.7
2026-04-25,Asiana Airlines,AS8278,Dubai,Istanbul,UAE,Turkey,Middle East,Middle East,Via Persian Gulf,Via Indian Ocean southern route,2433,4387,1954,13106.36,0.9
2026-04-25,Qatar Airways,QA1118,Frankfurt,Dubai,Germany,UAE,Europe,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,11745,12572,827,4862.97,2.5
2026-04-25,Mahan Air,MA6463,Abu Dhabi,Sydney,UAE,Australia,Middle East,Asia Pacific,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,10169,12060,1891,13223.07,4.1
2026-04-26,UPS Airlines,UP541,Doha,Madrid,Qatar,Spain,Middle East,Europe,Direct Gulf route,Via Jordan–Egypt alternate,6035,6888,853,3289.92,0.8
2026-04-26,Air China,AI1876,Doha,Los Angeles,Qatar,USA,Middle East,North America,Direct Middle East overfly,Via Central Asian detour,3211,5506,2295,10549.43,4.1
2026-04-26,EgyptAir,EG1460,Doha,Los Angeles,Qatar,USA,Middle East,North America,Via Persian Gulf,Via Indian Ocean southern route,3195,6146,2951,17539.55,3.0
2026-04-26,Ryanair,RY1492,Dubai,Cairo,UAE,Egypt,Middle East,North Africa,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,11179,12719,1540,6763.02,1.8
2026-04-26,Emirates,EM1495,Singapore,Dubai,Singapore,UAE,Asia Pacific,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,9259,10727,1468,5169.03,5.7
2026-04-26,Air France,AI3619,Dubai,Shanghai,UAE,China,Middle East,Asia Pacific,Via Persian Gulf,Via Indian Ocean southern route,11244,13510,2266,12180.87,3.7
2026-04-26,SAS,SA5364,Dubai,Delhi,UAE,India,Middle East,South Asia,Direct Gulf route,Via Jordan–Egypt alternate,11951,12403,452,1877.8,3.9
2026-04-27,Emirates,EM8281,Beirut,Paris,Lebanon,France,Middle East,Europe,Direct Tehran overfly,Via Ashgabat–Almaty route,4505,5761,1256,8679.65,5.9
2026-04-27,Lufthansa,LU1706,Auckland,Dubai,New Zealand,UAE,Asia Pacific,Middle East,Direct Tehran overfly,Via Ashgabat–Almaty route,7306,8478,1172,5529.65,4.0
2026-04-27,UPS Airlines,UP3484,Moscow,Dubai,Russia,UAE,Europe,Middle East,Via Persian Gulf,Via Indian Ocean southern route,8812,10950,2138,7857.68,0.7
2026-04-27,Japan Airlines,JA5608,Dubai,Shanghai,UAE,China,Middle East,Asia Pacific,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,10526,12028,1502,8418.37,2.2
2026-04-27,Garuda Indonesia,GA7759,Mexico City,London,Mexico,UK,Latin America,Europe,Direct Middle East overfly,Via Central Asian detour,5019,7240,2221,13003.01,3.8
2026-04-27,Cargolux,CA8010,Dubai,Chicago,UAE,USA,Middle East,North America,Direct Gulf route,Via Jordan–Egypt alternate,7395,7923,528,2849.21,4.4
2026-04-27,UPS Airlines,UP2783,Karachi,Istanbul,Pakistan,Turkey,South Asia,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,8704,11448,2744,11827.77,3.5
2026-04-27,Air India,AI5877,London,Sydney,UK,Australia,Europe,Asia Pacific,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,6913,9644,2731,17682.26,3.5
2026-04-27,SAS,SA4660,Kuala Lumpur,London,Malaysia,UK,Asia Pacific,Europe,Via Baghdad FIR,Via Ankara–Baku corridor,10292,11106,814,5251.8,5.9
2026-04-27,South African Airways,SO9295,Cairo,Riyadh,Egypt,Saudi Arabia,North Africa,Middle East,Direct Tehran overfly,Via Ashgabat–Almaty route,5708,6411,703,4514.19,5.2
2026-04-27,British Airways,BR6731,Los Angeles,Doha,USA,Qatar,North America,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,8314,10834,2520,11462.18,5.2
2026-04-27,easyJet,EA2657,Dubai,Istanbul,UAE,Turkey,Middle East,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,6970,7605,635,2961.2,4.7
2026-04-27,Finnair,FI350,Beirut,Paris,Lebanon,France,Middle East,Europe,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,2012,3353,1341,6375.16,5.5
2026-04-27,SpiceJet,SP3284,Singapore,Auckland,Singapore,New Zealand,Asia Pacific,Asia Pacific,Direct Tehran overfly,Via Ashgabat–Almaty route,8610,9981,1371,7224.52,5.0
2026-04-27,Finnair,FI9115,Kuala Lumpur,Dubai,Malaysia,UAE,Asia Pacific,Middle East,Via Strait of Hormuz,Via Red Sea–Suez route,6557,8340,1783,7851.3,3.8
2026-04-27,Ryanair,RY9520,Dubai,Bahrain,UAE,Bahrain,Middle East,Middle East,Direct Middle East overfly,Via Central Asian detour,6034,8329,2295,14606.17,3.5
2026-04-27,Saudi Arabian Airlines,SA1789,Istanbul,Dubai,Turkey,UAE,Middle East,Middle East,Direct Tehran overfly,Via Ashgabat–Almaty route,10608,12422,1814,12330.86,5.1
2026-04-27,Garuda Indonesia,GA4129,London,Doha,UK,Qatar,Europe,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,8155,9244,1089,5289.72,2.2
2026-04-28,LATAM Airlines,LA9309,Dubai,Casablanca,UAE,Morocco,Middle East,Africa,Via Strait of Hormuz,Via Red Sea–Suez route,10049,11557,1508,8273.23,2.9
2026-04-28,Emirates,EM1737,Lisbon,Doha,Portugal,Qatar,Europe,Middle East,Direct Tehran overfly,Via Ashgabat–Almaty route,8973,10399,1426,9592.3,2.6
2026-04-28,South African Airways,SO715,Frankfurt,Dubai,Germany,UAE,Europe,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,7791,8384,593,3052.94,1.0
2026-04-28,WestJet,WE5698,Sydney,Singapore,Australia,Singapore,Asia Pacific,Asia Pacific,Direct Middle East overfly,Via Central Asian detour,2021,3495,1474,10228.34,4.2
2026-04-28,Cathay Pacific,CA2128,Dubai,Johannesburg,UAE,South Africa,Middle East,Africa,Direct Tehran overfly,Via Ashgabat–Almaty route,9798,10966,1168,4835.02,2.5
2026-04-28,Thai Airways,TH4618,Dubai,Sydney,UAE,Australia,Middle East,Asia Pacific,Direct Tehran overfly,Via Ashgabat–Almaty route,11957,13874,1917,11158.03,0.5
2026-04-28,China Southern,CH7027,Paris,Doha,France,Qatar,Europe,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,5703,6677,974,3738.0,2.8
2026-04-29,flydubai,FL1442,New York,Dubai,USA,UAE,North America,Middle East,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,6405,7384,979,3916.27,3.2
2026-04-29,LATAM Airlines,LA9940,Addis Ababa,Doha,Ethiopia,Qatar,Africa,Middle East,Direct Middle East overfly,Via Central Asian detour,10886,12660,1774,8714.97,3.5
2026-04-29,Atlas Air,AT5209,Bahrain,London,Bahrain,UK,Middle East,Europe,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,9237,11075,1838,8874.86,2.6
2026-04-29,easyJet,EA3467,Ho Chi Minh City,Doha,Vietnam,Qatar,Asia Pacific,Middle East,Via Persian Gulf,Via Indian Ocean southern route,7704,10482,2778,9770.72,1.8
2026-04-29,DHL Aviation,DH9519,Kuwait City,Mumbai,Kuwait,India,Middle East,South Asia,Direct Tehran overfly,Via Ashgabat–Almaty route,10164,11926,1762,7067.5,5.8
2026-04-29,Air Canada,AI6078,Dubai,Sydney,UAE,Australia,Middle East,Asia Pacific,Via Strait of Hormuz,Via Red Sea–Suez route,11947,12645,698,3671.77,5.1
2026-04-29,Singapore Airlines,SI7259,Casablanca,Paris,Morocco,France,Africa,Europe,Via Baghdad FIR,Via Ankara–Baku corridor,6866,7768,902,4269.83,4.5
2026-04-29,Kenya Airways,KE372,Cairo,Kuwait City,Egypt,Kuwait,North Africa,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,9197,10431,1234,7600.81,2.5
2026-04-29,KLM,KL6474,Jakarta,Dubai,Indonesia,UAE,Asia Pacific,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,8425,9690,1265,7480.95,5.9
2026-04-29,Emirates,EM8353,London,Riyadh,UK,Saudi Arabia,Europe,Middle East,Via Strait of Hormuz,Via Red Sea–Suez route,3587,4757,1170,4733.12,2.9
2026-04-29,Cargolux,CA7949,Dubai,Casablanca,UAE,Morocco,Middle East,Africa,Direct Middle East overfly,Via Central Asian detour,10980,12118,1138,5147.74,5.4
2026-04-29,Aeroflot,AE4422,Dubai,Frankfurt,UAE,Germany,Middle East,Europe,Direct Gulf route,Via Jordan–Egypt alternate,5614,6365,751,3105.98,5.4
2026-04-29,Japan Airlines,JA9696,Johannesburg,London,South Africa,UK,Africa,Europe,Direct Gulf route,Via Jordan–Egypt alternate,7933,8857,924,5497.57,5.2
2026-04-29,Swiss International Air Lines,SW1825,Cairo,Riyadh,Egypt,Saudi Arabia,North Africa,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,3654,4935,1281,4854.79,1.6
2026-04-29,WestJet,WE9922,Tokyo,London,Japan,UK,Asia Pacific,Europe,Direct Tehran overfly,Via Ashgabat–Almaty route,5375,6841,1466,6503.17,5.6
2026-04-30,Cargolux,CA8787,Mexico City,London,Mexico,UK,Latin America,Europe,Via Baghdad FIR,Via Ankara–Baku corridor,9104,9794,690,3022.2,0.6
2026-04-30,Emirates,EM2960,Stockholm,Dubai,Sweden,UAE,Europe,Middle East,Via Strait of Hormuz,Via Red Sea–Suez route,4938,5634,696,4035.2,1.2
2026-04-30,SAS,SA7475,Beijing,Dubai,China,UAE,Asia Pacific,Middle East,Via Strait of Hormuz,Via Red Sea–Suez route,5361,6807,1446,9183.82,3.0
2026-04-30,Lufthansa,LU7083,Dubai,Hanoi,UAE,Vietnam,Middle East,Asia Pacific,Direct Gulf route,Via Jordan–Egypt alternate,5860,6998,1138,5265.67,4.8
2026-04-30,Emirates SkyCargo,EM7933,Dubai,Hanoi,UAE,Vietnam,Middle East,Asia Pacific,Via Baghdad FIR,Via Ankara–Baku corridor,4839,5468,629,3890.3,2.2
2026-04-30,Swiss International Air Lines,SW4601,Dubai,Delhi,UAE,India,Middle East,South Asia,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,9977,11771,1794,11577.49,3.7
